,size,isdir,mode,mtime,ctime,atime,exe,file_full,filename,method
line933,58333844,FALSE,666,3/4/2019 20:08,3/18/2019 11:23,3/18/2019 11:23,no,02_04/20190219_933.raw,20190219_933,20190204_PAL_filtrate_DDA_IL.meth
line934,75319499,FALSE,666,3/4/2019 20:28,3/18/2019 11:23,3/18/2019 11:23,no,02_04/20190219_934.raw,20190219_934,20190204_PAL_filtrate_DIA.meth
line935,59251428,FALSE,666,3/4/2019 20:48,3/18/2019 11:23,3/18/2019 11:23,no,02_04/20190219_935.raw,20190219_935,20190204_PAL_filtrate_DDA_IL.meth
line936,76835447,FALSE,666,3/4/2019 21:09,3/18/2019 11:23,3/18/2019 11:23,no,02_04/20190219_936.raw,20190219_936,20190204_PAL_filtrate_DIA.meth
line937,58359132,FALSE,666,3/4/2019 21:29,3/18/2019 11:23,3/18/2019 11:23,no,02_04/20190219_937.raw,20190219_937,20190204_PAL_filtrate_DDA_IL.meth
line938,76503395,FALSE,666,3/4/2019 21:49,3/18/2019 11:23,3/18/2019 11:23,no,02_04/20190219_938.raw,20190219_938,20190204_PAL_filtrate_DIA.meth
line939,43012831,FALSE,666,3/4/2019 22:09,3/18/2019 11:23,3/18/2019 11:23,no,02_04/20190219_939.raw,20190219_939,20190204_PAL_filtrate_DDA_IL.meth
line940,54421391,FALSE,666,3/4/2019 22:29,3/18/2019 11:22,3/18/2019 11:22,no,02_04/20190219_940.raw,20190219_940,20190204_PAL_filtrate_DIA.meth
line941,71014546,FALSE,666,3/7/2019 6:33,3/18/2019 14:20,3/18/2019 14:20,no,blanks_DIA/20190305_121.raw,20190305_121,20190204_PAL_blank_DIA.meth
line942,70620179,FALSE,666,3/7/2019 13:16,3/18/2019 14:20,3/18/2019 14:20,no,blanks_DIA/20190305_141.raw,20190305_141,20190204_PAL_blank_DIA.meth
line943,68962999,FALSE,666,3/8/2019 9:44,3/18/2019 14:20,3/18/2019 14:20,no,blanks_DIA/20190305_202.raw,20190305_202,20190204_PAL_blank_DIA.meth
line944,69104044,FALSE,666,3/8/2019 16:07,3/18/2019 14:20,3/18/2019 14:20,no,blanks_DIA/20190305_221.raw,20190305_221,20190204_PAL_blank_DIA.meth
line945,67600813,FALSE,666,3/8/2019 22:49,3/18/2019 14:20,3/18/2019 14:20,no,blanks_DIA/20190305_241.raw,20190305_241,20190204_PAL_blank_DIA.meth
